Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	label
index_ 1	0.360330579	0.54214876	0.375206612	0.452892562	0.247933884	0.008264463	0.00661157	0.004958678	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 2	0.379617834	0.625477707	0.52866242	0.365605096	0.040764331	0.039490446	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 3	0.309615385	0.742307692	0.426923077	0.359615385	0.086538462	0.023076923	0.044230769	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 4	0.361290323	0.530645161	0.414516129	0.498387097	0.125806452	0.020967742	0.037096774	0.008064516	0.001612903	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 5	0.257471264	0.664367816	0.457471264	0.44137931	0.137931034	0.006896552	0.002298851	0.009195402	0.006896552	0.006896552	0.004597701	0	0.002298851	1.00E-05	1.00E-05	1.00E-05	c
index_ 6	0.364444444	0.728888889	0.444444444	0.191111111	0.244444444	0.004444444	0.004444444	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 7	0.346875	0.690625	0.50625	0.296875	0.109375	0.0125	0.0125	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 8	0.355555556	0.724074074	0.396296296	0.322222222	0.157407407	0.011111111	0.022222222	0.007407407	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 9	0.338912134	0.805439331	0.638075314	0.082426778	0.116317992	0.011715481	0.00334728	0.00083682	0.00125523	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 10	0.409836066	0.649180328	0.418032787	0.273770492	0.172131148	0.013114754	0.01147541	0.03442623	0.014754098	0.001639344	0	0	0	1.00E-05	1.00E-05	1.00E-05	c
index_ 11	0.433333333	0.707575758	0.457575758	0.189393939	0.145454545	0.010606061	0.025757576	0.01969697	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 12	0.396312364	0.594088937	0.35	0.398806941	0.257754881	0.002440347	0.00037961	0.00016269	0	0	0	0	0	0	1.00E-05	1.00E-05	c
index_ 13	0.394311377	0.610598802	0.388502994	0.357185629	0.244491018	0.002155689	0.001736527	0.000718563	5.99E-05	5.99E-05	0.00011976	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 14	0.420689655	0.751724138	0.510344828	0.075862069	0.227586207	0.006896552	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 15	0.367088608	0.77721519	0.587341772	0.037974684	0.225316456	0	0.002531646	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 16	0.520261438	1.100653595	0.117647059	0.235294118	0.024836601	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 17	0.183333333	1.2	0.116666667	0.216666667	0.1	0.05	0.116666667	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 18	0.531868132	1.006593407	0.164835165	0.213186813	0.076923077	0	0.004395604	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 19	0.501404853	0.861941252	0.256194125	0.27816092	0.073818646	0.010600255	0.009961686	0.004980843	0.001915709	0.000510856	0.000127714	0	0.000127714	1.00E-05	1.00E-05	1.00E-05	c
index_ 20	0.481045752	0.989542484	0.168627451	0.295424837	0.054901961	0.003921569	0.002614379	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 21	0.52	0.72	0.386666667	0.173333333	0	0.146666667	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 22	0.8	0.8	0.2	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 23	0.41981982	1.178378378	0.174774775	0.207207207	0.016216216	0.001801802	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 24	0.297546012	0.628834356	0.541104294	0.488343558	0.036196319	0.003067485	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 25	0.375324675	0.627272727	0.401298701	0.296103896	0.262337662	0.014285714	0.009090909	0.01038961	0.002597403	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 26	0.298666667	0.797333333	0.509333333	0.341333333	0.037333333	0.005333333	0.008	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
index_ 27	0.461111111	0.827777778	0.418518519	0.225925926	0.053703704	0.003703704	0.003703704	0.003703704	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	c
