MID-POINT     AGE_1     AGE_2     AGE_3     AGE_4     AGE_5     TOTAL
     18.0         1         0         0         0         0         1
     18.5         0         0         0         0         0         0
     19.0         1         0         0         0         0         1
     19.5         2         0         0         0         0         2
     20.0         2         0         0         0         0         2
     20.5         1         0         0         0         0         1
     21.0         3         0         0         0         0         3
     21.5         4         0         0         0         0         4
     22.0         1         0         0         0         0         1
     22.5         9         0         0         0         0         9
     23.0         5         0         0         0         0         5
     23.5         6         0         0         0         0         6
     24.0         5         0         0         0         0         5
     24.5         2         0         0         0         0         2
     25.0         2         1         0         0         0         3
     25.5         0         1         0         0         0         1
     26.0         3         0         0         0         0         3
     26.5         2         3         0         0         0         5
     27.0         1         1         0         0         0         2
     27.5         2         2         0         0         0         4
     28.0         1         8         0         0         0         9
     28.5         2         2         0         0         0         4
     29.0         0         8         0         0         0         8
     29.5         0        10         0         0         0        10
     30.0         0        10         0         0         0        10
     30.5         0        11         0         0         0        11
     31.0         0         7         1         0         0         8
     31.5         0        10         0         0         0        10
     32.0         0        13         1         0         0        14
     32.5         0        17         1         0         0        18
     33.0         0        22         0         0         0        22
     33.5         0        16         0         0         0        16
     34.0         0        14         0         0         0        14
     34.5         0        16         1         0         0        17
     35.0         0        19         1         0         0        20
     35.5         0        14         6         0         0        20
     36.0         0         2         3         0         0         5
     36.5         0         7         5         0         0        12
     37.0         0         5         5         0         0        10
     37.5         0         9         8         0         0        17
     38.0         0         6         3         0         0         9
     38.5         0         3         8         0         0        11
     39.0         0         1        11         0         0        12
     39.5         0         3         7         0         0        10
     40.0         0         0        12         0         0        12
     40.5         0         1         6         0         0         7
     41.0         0         0        11         0         0        11
     41.5         0         1         5         0         0         6
     42.0         0         0         4         0         0         4
     42.5         0         0        10         0         0        10
     43.0         0         0         5         0         0         5
     43.5         0         0         4         0         0         4
     44.0         0         0         4         0         0         4
     44.5         0         0         4         3         0         7
     45.0         0         0         6         1         0         7
     45.5         0         0         2         2         0         4
     46.0         0         0         1         3         0         4
     46.5         0         0         4         0         0         4
     47.0         0         0         1         2         0         3
     47.5         0         0         1         5         0         6
     48.0         0         0         3         1         0         4
     48.5         0         0         3         3         0         6
     49.0         0         0         0         0         0         0
     49.5         0         0         0         1         1         2
     50.0         0         0         2         2         0         4
     50.5         0         0         1         1         0         2
     51.0         0         0         1         1         0         2
     51.5         0         0         1         3         0         4
     52.0         0         0         1         1         2         4
     52.5         0         0         2         1         0         3
     53.0         0         0         1         1         0         2
     53.5         0         0         0         1         1         2
     54.0         0         0         0         1         0         1
     54.5         0         0         0         1         0         1
     55.0         0         0         0         3         0         3
     55.5         0         0         0         3         0         3
     56.0         0         0         0         2         0         2
     56.5         0         0         0         0         1         1
     57.0         0         0         0         0         0         0
     57.5         0         0         0         0         0         0
     58.0         0         0         0         0         0         0
     58.5         0         0         0         1         3         4
     59.0         0         0         0         0         1         1
     59.5         0         0         0         0         1         1
     60.0         0         0         0         0         1         1
     60.5         0         0         0         0         0         0
     61.0         0         0         0         2         3         5
     61.5         0         0         0         0         0         0
     62.0         0         0         0         0         0         0
     62.5         0         0         0         1         2         3
     63.0         0         0         0         0         0         0
     63.5         0         0         0         0         0         0
     64.0         0         0         0         0         0         0
     64.5         0         0         0         1         0         1
     65.0         0         0         0         0         1         1
     65.5         0         0         0         0         0         0
     66.0         0         0         0         0         0         0
     66.5         0         0         0         0         0         0
     67.0         0         0         0         0         0         0
     67.5         0         0         0         0         1         1
     68.0         0         0         0         0         0         0
     68.5         0         0         0         0         1         1
     69.0         0         0         0         0         0         0
     69.5         0         0         0         0         0         0
     70.0         0         0         0         0         0         0
     70.5         0         0         0         0         0         0
     71.0         0         0         0         0         1         1
     71.5         0         0         0         0         0         0
     72.0         0         0         0         0         0         0
     72.5         0         0         0         0         0         0
     73.0         0         0         0         0         0         0
     73.5         0         0         0         0         0         0
     74.0         0         0         0         0         0         0
     74.5         0         0         0         0         0         0
     75.0         0         0         0         0         1         1
     75.5         0         0         0         0         0         0
     76.0         0         0         0         0         0         0
     76.5         0         0         0         0         1         1
