Group	Mean1	SD1	Mean2	SD2	Mean3	SD3	CV1	CV2	CV3
normal1	0.960	0.155	1.961	0.220	2.321	NA	0.161458333	0.112187659	#VALUE!
normal2	0.878	0.178	1.675	0.361	2.355	NA	0.202733485	0.215522388	#VALUE!
normal3	0.925	0.153	1.642	0.349	NA	NA	0.165405405	0.212545676	#VALUE!
normal4	1.001	0.088	1.878	0.237	NA	NA	0.087912088	0.126198083	#VALUE!
normal5	0.960	0.133	1.778	0.267	2.307	0.009	0.138541667	0.150168729	0.00390117
normal6	0.974	0.100	1.588	0.320	NA	NA	0.102669405	0.201511335	#VALUE!
normal7	0.888	0.182	1.407	0.278	2.391	0.046	0.204954955	0.197583511	0.019238812
normal8	0.963	0.155	1.710	0.256	NA	NA	0.160955348	0.149707602	#VALUE!
normal9	0.995	0.085	1.434	0.294	NA	NA	0.085427136	0.205020921	#VALUE!
OLK1	0.751	0.137	1.578	0.172	3.675	NA	0.182423435	0.108998733	#VALUE!
OLK2	0.959	0.117	1.718	0.368	NA	NA	0.122002086	0.214202561	#VALUE!
OLK3	0.940	0.140	1.938	0.190	NA	NA	0.14893617	0.098039216	#VALUE!
OLK4	0.992	0.074	1.660	0.172	3.200	0.261	0.074596774	0.103614458	0.0815625
OLK5	0.912	0.155	1.818	0.272	3.366	0.808	0.16995614	0.149614961	0.240047534
OLK6	0.949	0.138	1.798	0.315	2.332	NA	0.145416228	0.175194661	#VALUE!
OLK7	0.950	0.129	1.771	0.270	NA	NA	0.135789474	0.152456239	#VALUE!
OLK8	0.925	0.150	1.696	0.358	2.420	0.057	0.162162162	0.211084906	0.023553719
OLK9	0.898	0.172	1.540	0.391	2.483	NA	0.191536748	0.253896104	#VALUE!
OSCC1	0.979	0.096	1.959	0.278	2.410	0.289	0.098059244	0.141909137	0.119917012
OSCC2	0.911	0.128	1.604	0.193	3.185	0.734	0.14050494	0.12032419	0.230455259
OSCC3	0.880	0.140	1.564	0.327	2.393	0.127	0.159090909	0.209079284	0.053071458
OSCC4	0.989	0.147	1.848	0.179	2.613	0.442	0.148634985	0.096861472	0.169154229
OSCC5	0.991	0.091	1.596	0.123	2.772	0.396	0.091826438	0.077067669	0.142857143
OSCC6	0.955	0.955	1.855	0.299	2.441	0.233	1	0.161185984	0.095452683
OSCC7	0.983	0.099	1.579	0.148	3.200	0.265	0.100712106	0.093730209	0.0828125
OSCC8	0.871	0.211	1.402	0.121	2.743	0.263	0.242250287	0.086305278	0.095880423
OSCC9	0.884	0.104	1.694	0.225	2.605	0.238	0.117647059	0.132821724	0.091362764
